file,battery,battery_central,curtailment,pv,sell_grid_power,solar_power,supply_grid_power,unmet_demand,Cluster
run_wm0p43333_wc0p4_wt0p16667.nc,289.81663397466565,0.010630237485295041,795.2465192529146,801.0990700923401,0.011714118459972694,1199.9818630822242,238.0210971341704,0.0,1
run_wm0p23333_wc0p03333_wt0p73333.nc,358.21546205661997,0.017102587162370692,780.0347472617835,954.2932101895511,0.021592519986485405,1199.9881927044382,399.9839027131668,0.0,2
run_wm0p3_wc0p13333_wt0p56667.nc,330.8370167237961,0.007457449315019907,784.1999516252572,862.2297716060735,0.019736711537775294,1199.9904959446633,191.7660632529584,0.0,1
run_wm0p83333_wc0p03333_wt0p13333.nc,148.82603411720535,0.008553698136335459,862.8884250490414,1279.4524887208981,361.0087427570683,1199.9571702717953,337.3771627236023,0.0,0
run_wm0p3_wc0p56667_wt0p13333.nc,333.8906499775966,0.02772043671602016,789.4963700865568,913.9022470129611,0.029973799913591326,1199.9823152517579,191.67013594941002,0.0,1
run_wm0p36667_wc0p23333_wt0p4.nc,307.7173668395535,0.006633370864009408,778.7087850305934,846.1856429473132,0.006195232330877651,1199.9909887147217,191.69559529616572,0.0,1
run_wm0p53333_wc0p13333_wt0p33333.nc,253.47401483671905,0.0044620988655816,795.746544005237,691.1597784606404,0.004288429610499735,1199.9896910253044,288.4212907782741,0.0,1
run_wm0p36667_wc0p4_wt0p23333.nc,310.7733136327521,0.008899161549848714,785.366507141826,856.8561956446756,0.008282188016324134,1199.98231389612,191.68014819091167,0.0,1
run_wm0p36667_wc0p63333_wt1e-05.nc,196.99264181102293,175.1831306527892,751.7122479529779,1399.4299813713155,536.1825770197879,1199.9990737703736,486.1669165646581,0.0,0
run_wm0p1_wc0p7_wt0p2.nc,439.1132991772424,0.029216472879151384,752.7523693008936,1025.9909244306987,0.0006209090282647955,1199.984781751587,191.73784172536696,0.0,1
